3000 từ thông dụng
abandon	từ bỏ
badly	tệ
bag	túi
baggage	hành lý
bake	nướng
balance	cân đối
ball	trái bóng
ban	lệnh cấm
band	ban nhạc
bandage	băng bó
bank	ngân hàng
bar	quán ba
bargain	mặc cả
barrier	rào chắn
base	căn cứ
based	dựa trên
basic	căn bản
basically	về cơ bản
basis	nền tảng
bath	bồn tắm
bathroom	phòng tắm
battery	ắc quy
battle	trận chiến
bay	vịnh
be	được
beach	bờ biển
beak	mỏ
bear	chịu
beard	râu
beat	tiết tấu
beautiful	đẹp
beautifully	đẹp đẽ
beauty	sắc đẹp, vẻ đẹp
because	bởi vì
become	trở nên
bed	Giường
bedroom	phòng ngủ
beef	thịt bò
beer	bia
before	trước
begin	bắt đầu
beginning	bắt đầu
behalf	thay mặt
behave	hành xử
behaviour	hành vi
behind	phía sau
belief	niềm tin
believe	tin
bell	chuông
belong	thuộc về
below	phía dưới
belt	thắt lưng
bend	bẻ cong
beneath	ở trên
benefit	lợi ích
bent	cong
beside	bên cạnh
best	tốt
bet	cá cược
better	tốt hơn
betting	cá cược
between	giữa
beyond	vượt ra ngoài
bicycle	Xe đạp
bid	BID
big	to
bike	xe đạp
bill	hóa đơn
billion	tỷ
bin	thùng rác
biology	sinh học
bird	chim
birth	Sinh
birthday	sinh nhật
biscuit	bánh quy
bit	bit
bite	vết cắn
bitter	đắng
bitterly	cay đắng
black	đen
blade	lưỡi
blame	khiển trách
blank	chỗ trống
blind	mù quáng
block	khối
blonde	vàng
blood	máu
blow	thổi
blue	màu xanh da trời
board	bảng
boat	thuyền
body	thân hình
boil	sôi lên
bomb	bom
bone	xương
book	sách
boot	khởi động
border	biên giới
bore	khoan
bored	chán
boring	nhàm chán
born	sinh ra
borrow	vay
boss	trùm
both	cả hai
bother	làm phiền
bottle	chai
bottom	đáy
bound	bị ràng buộc
bowl	bát
box	cái hộp
boy	con trai
boyfriend	bạn trai
brain	óc
branch	chi nhánh
brand	nhãn hiệu
brave	can đảm
bread	bánh mỳ
break	phá vỡ
breakfast	bữa ăn sáng
breast	nhũ hoa
breath	hơi thở
breathe	thở
breathing	hơi thở
breed	giống
brick	gạch
bridge	cầu
brief	tóm tắt
briefly	một thời gian ngắn
bright	sáng
brightly	sáng chói
brilliant	rực rỡ
bring	mang đến
broad	rộng lớn
broadcast	phát sóng
broadly	rộng rãi
broken	bị hỏng
brother	em trai
brown	nâu
brush	chải
bubble	bong bóng
budget	ngân sách
build	xây dựng
building	Tòa nhà
bullet	đạn
bunch	bó
burn	đốt cháy
burnt	cháy
burst	nổ
bury	chôn
bus	xe buýt
bush	bụi cây
business	kinh doanh
businessman	doanh nhân
busy	bận
but	nhưng
butter	bơ
button	nút
buy	mua
buyer	người mua
by	bởi
bye	tạm biệt
cabinet	buồng
cable	cáp
cake	bánh ngọt
calculate	tính toán
calculation	phép tính
call	gọi điện
called	gọi là
calm	điềm tĩnh
calmly	bình thản
camera	Máy ảnh
camp	trại
campaign	chiến dịch
camping	cắm trại
can	có thể
cancel	hủy bỏ
cancer	ung thư
candidate	ứng cử viên
candy	cục kẹo
cannot	không thể
cap	mũ lưỡi trai
capable	có khả năng
capacity	sức chứa
capital	thủ đô
captain	đội trưởng
capture	chụp
car	xe hơi
card	Thẻ
cardboard	các tông
care	quan tâm
career	nghề nghiệp
careful	cẩn thận
carefully	cẩn thận
careless	cẩu thả
carelessly	một cách bất cẩn
carpet	thảm
carrot	cà rốt
carry	mang
case	trường hợp
cash	tiền mặt
cast	đúc
castle	Lâu đài
cat	con mèo
catch	bắt lấy
category	thể loại
cause	nguyên nhân
CD	CD
cease	ngưng
ceiling	Trần nhà
celebrate	ăn mừng
celebration	lễ kỷ niệm
cell	tế bào
cent	xu
centimetre	centimet
central	Trung tâm
centre	trung tâm
century	thế kỷ
ceremony	Lễ
certain	chắc chắn
certainly	chắc chắn
certificate	chứng chỉ
chain	chuỗi
chair	cái ghế
chairman	Chủ tịch
chairwoman	chủ tịch
challenge	thử thách
chamber	buồng
chance	cơ hội
change	thay đổi
channel	kênh
chapter	chương
character	tính cách
characteristic	đặc trưng
charge	sạc điện
charity	từ thiện
chart	đồ thị
chase	đuổi theo
chat	trò chuyện
cheap	rẻ
cheaply	rẻ
cheat	lừa đảo
check	kiểm tra
cheek	gò má
cheerful	vui lòng
cheerfully	vui vẻ
cheese	phô mai
chemical	hóa chất
chemist	nhà hóa học
chemistry	hóa học
cheque	kiểm tra
chest	ngực
chew	nhai
chicken	gà
chief	giám đốc
child	đứa trẻ
chin	cái cằm
chip	Chip
chocolate	sô cô la
choice	sự lựa chọn
choose	chọn
chop	chặt
church	nhà thờ
cigarette	thuốc lá
cinema	Rạp chiếu bóng
circle	vòng tròn
circumstance	hoàn cảnh
citizen	người dân
city	thành phố
civil	dân sự
claim	yêu cầu
clap	vỗ tay
class	lớp học
classic	cổ điển
classroom	lớp học
clean	dọn dẹp
clear	thông thoáng
clearly	thông suốt
clerk	nhân viên bán hàng
clever	tài giỏi
click	nhấp chuột
client	khách hàng
climate	khí hậu
climb	leo
climbing	leo
clock	đồng hồ
close	gần
closed	đóng cửa
closely	chặt chẽ
closet	tủ quần áo
cloth	vải
clothes	quần áo
clothing	quần áo
cloud	đám mây
club	câu lạc bộ
coach	huấn luyện viên
coal	than đá
coast	bờ biển
coat	áo khoác
code	mã
coffee	cà phê
coin	đồng tiền
cold	lạnh
coldly	lạnh lùng
collapse	sự sụp đổ
colleague	đồng nghiệp
collect	sưu tầm
collection	bộ sưu tập
college	trường đại học
colour	màu
coloured	màu
column	cột
combination	sự phối hợp
combine	phối hợp
come	đến
comedy	phim hài
comfort	sự thoải mái
comfortable	Thoải mái
comfortably	thoải mái
command	chỉ huy
comment	bình luận
commercial	thương mại
commission	Uỷ ban
commit	cam kết
commitment	cam kết
committee	ủy ban
common	chung
commonly	thông thường
communicate	giao tiếp
communication	giao tiếp
community	cộng đồng
company	Công ty
compare	so sánh
comparison	so sánh
compete	tranh đua
competition	cuộc thi
competitive	cạnh tranh
complain	than phiền
complaint	lời phàn nàn
complete	hoàn thành
completely	hoàn toàn
complex	phức tạp
complicate	phức tạp
complicated	phức tạp
computer	máy vi tính
concentrate	tập trung
concentration	sự tập trung
concept	khái niệm
concern	mối quan ngại
concerned	liên quan
concerning	liên quan đến
concert	buổi hòa nhạc
conclude	kết luận
conclusion	phần kết luận
concrete	bê tông
condition	điều kiện
conduct	hạnh kiểm
conference	hội nghị
confidence	sự tự tin
confident	tự tin
confidently	tự tin
confine	giam cầm
confined	hạn chế
confirm	xác nhận
conflict	cuộc xung đột
confront	đối đầu
confuse	nhầm lẫn
confused	bối rối
confusing	gây nhầm lẫn
confusion	sự nhầm lẫn
congratulate	Chúc mừng em
congratulation	chúc mừng
congress	Hội nghị
connect	kết nối
connected	kết nối
connection	kết nối
conscious	ý thức
consequence	kết quả
conservative	thận trọng
consider	xem xét
considerable	đáng kể
considerably	đáng kể
consideration	xem xét
consist	bao gồm
constant	không thay đổi
constantly	liên tục
construct	xây dựng
construction	xây dựng
consult	tư vấn
consumer	khách hàng
contact	tiếp xúc
contain	chứa
container	thùng đựng hàng
contemporary	đồng thời
content	Nội dung
contest	Cuộc thi
context	bối cảnh
continent	lục địa
continue	tiếp tục
continuous	liên tiếp
continuously	liên tục
contract	hợp đồng
contrast	tương phản
contrasting	tương phản
contribute	Góp phần
contribution	sự đóng góp
control	điều khiển
controlled	được kiểm soát
convenient	tiện lợi
convention	quy ước
conventional	thông thường
conversation	cuộc hội thoại
convert	đổi
convince	thuyết phục
cook	nấu ăn
cooker	nồi cơm điện
cookie	bánh quy
cooking	nấu ăn
cool	mát mẻ
cope	đối phó
copy	sao chép
core	cốt lõi
corner	góc
correct	chính xác
correctly	đúng
cost	Giá cả
cottage	nhà nhỏ
cotton	bông
cough	ho
coughing	ho
could	có thể
council	hội đồng
count	đếm
counter	quầy tính tiền
country	Quốc gia
countryside	nông thôn
county	quận
couple	cặp đôi
courage	lòng can đảm
course	khóa học
court	tòa án
cousin	anh chị em họ
cover	che
covered	che
covering	bao gồm
cow	con bò
crack	vết nứt
cracked	nứt
craft	nghề thủ công
crash	tai nạn
crazy	khùng
cream	kem
create	tạo nên
creature	sinh vật
credit	tín dụng
crime	tội ác
criminal	tội phạm
crisis	cuộc khủng hoảng
crisp	sắc nét
criterion	tiêu chí
critical	chỉ trích
criticism	sự chỉ trích
criticize	chỉ trích
crop	mùa vụ
cross	vượt qua
crowd	đám đông
crowded	Đông người
crown	Vương miện
crucial	quan trọng
cruel	hung ác
crush	nghiền nát
cry	khóc
cultural	văn hóa
culture	văn hóa
cup	cái chén
cupboard	cái tủ
curb	lề đường
cure	chữa khỏi
curious	Hiếu kỳ
curiously	tò mò
curl	curl
curly	quăn
current	hiện hành
currently	hiện tại
curtain	tấm màn
curve	đường cong
curved	cong
custom	tập quán
customer	khách hàng
customs	phong tục
cut	cắt tỉa
cycle	chu kỳ
cycling	đạp xe
dad	cha
daily	hằng ngày
damage	hư hại
damp	ẩm ướt
dance	nhảy
dancer	vũ công
dancing	khiêu vũ
danger	nguy hiểm
dangerous	nguy hiểm
dare	dám
dark	tối
data	dữ liệu
date	ngày
daughter	Con gái
day	ngày
dead	đã chết
deaf	điếc
deal	thỏa thuận
dear	kính thưa
death	tử vong
debate	tranh luận
debt	món nợ
decade	thập kỷ
decay	phân rã
December	Tháng mười hai
decide	quyết định
decision	phán quyết
declare	khai
decline	từ chối
decorate	trang trí
decoration	trang trí
decorative	trang trí
decrease	giảm bớt
deep	sâu
deeply	sâu sắc
defeat	đánh bại
defence	phòng thủ
defend	phòng thủ
define	định nghĩa
definite	xác định
definitely	chắc chắn
definition	Định nghĩa
degree	trình độ
delay	sự chậm trễ
deliberate	thận trọng
deliberately	thong thả
delicate	tinh tế
delight	Hân hoan
delighted	vui mừng
deliver	giao hàng
delivery	chuyển
demand	nhu cầu
demonstrate	chứng minh
dentist	bác sĩ nha khoa
deny	từ chối
department	bộ phận
departure	khởi hành
depend	tùy theo
deposit	tiền gửi
depress	chán nản
depressed	suy sụp
depressing	chán nản
depth	chiều sâu
derive	lấy được
describe	miêu tả
description	sự miêu tả
desert	Sa mạc
deserted	hoang vu
deserve	xứng đáng
design	thiết kế
desire	khao khát
desk	bàn
desperate	tuyệt vọng
desperately	tuyệt vọng
despite	mặc dù
destroy	hủy hoại
destruction	sự phá hủy
detail	chi tiết
detailed	chi tiết
determination	sự quyết tâm
determine	mục đích
determined	xác định
develop	phát triển, xây dựng
development	phát triển
device	thiết bị
devote	cống hiến
devoted	hết lòng
diagram	sơ đồ
diamond	kim cương
diary	Nhật ký
dictionary	từ điển
die	chết
diet	chế độ ăn
difference	Sự khác biệt
different	khác nhau
differently	khác biệt
difficult	khó khăn
difficulty	khó khăn
dig	đào
digital	kỹ thuật số
dinner	bữa tối
direct	thẳng thắn
direction	phương hướng
directly	trực tiếp
director	giám đốc
dirt	bụi bẩn
dirty	dơ bẩn
disabled	tàn tật
disadvantage	bất lợi
disagree	không đồng ý
disagreement	bất đồng ý kiến
disappear	biến mất
disappoint	thất vọng
disappointed	thất vọng
disappointing	thất vọng
disappointment	sự thất vọng
disapproval	không chấp thuận
disapprove	không chấp thuận
disapproving	không tán thành
disaster	thảm họa
disc	đĩa
discipline	kỷ luật
discount	giảm giá
discover	khám phá
discovery	khám phá
discuss	bàn luận
discussion	thảo luận
disease	dịch bệnh
disgust	ghê tởm
disgusted	ghê tởm
disgusting	kinh tởm
dish	món ăn
dishonest	Không trung thực
dishonestly	không trung thực
disk	đĩa
dislike	không thích
dismiss	bỏ qua
display	trưng bày
dissolve	hòa tan
distance	khoảng cách
distinguish	phân biệt
distribute	phân phát
distribution	phân phối
district	huyện
disturb	làm phiền
disturbing	phiền
divide	chia
division	sự chia
divorce	ly hôn
divorced	đã ly dị
do	làm
doctor	Bác sĩ
document	tài liệu
dog	chó
dollar	đô la
domestic	trong nước
dominate	thống trị
door	cửa
dot	chấm
double	gấp đôi
doubt	nghi ngờ
down	xuống
downstairs	tầng dưới
downward	xuống
downwards	xuống dưới
dozen	tá
draft	bản nháp
drag	kéo
drama	kịch
dramatic	kịch tính
dramatically	đáng kể
draw	vẽ tranh
drawer	ngăn kéo
drawing	bản vẽ
dream	mơ tưởng
dress	trang phục
dressed	mặc quần áo
drink	uống
drive	lái xe
driver	người lái xe
driving	điều khiển
drop	rơi vãi
drug	thuốc uống
drugstore	nhà thuốc
drum	trống
drunk	say
dry	khô
due	do
dull	đần độn
dump	đổ
during	suốt trong
dust	bụi bặm
duty	nhiệm vụ
DVD	đĩa DVD
dying	chết
each	mỗi
ear	tai
early	sớm
earn	kiếm
earth	trái đất
ease	giảm bớt
easily	dễ dàng
east	Đông
eastern	phương Đông
easy	dễ dàng
eat	ăn
economic	thuộc kinh tế
economy	nên kinh tê
edge	cạnh
edition	phiên bản
editor	biên tập viên
educate	giáo dục
educated	được giáo dục
education	giáo dục
effect	hiệu ứng
effective	có hiệu lực
effectively	hiệu quả
efficient	hiệu quả
efficiently	hiệu quả
effort	cố gắng
egg	trứng
eight	tám
eighteen	mười tám
eighteenth	thứ mười tám
eighth	thứ tám
eightieth	thứ tám mươi
eighty	tám mươi
either	hoặc
elbow	khuỷu tay
elderly	người già
elect	trúng tuyển
election	cuộc bầu cử
electric	điện
electrical	điện
electricity	điện lực
electronic	điện tử
elegant	thanh lịch
element	thành phần
elevator	thang máy
eleven	mười một
eleventh	thứ mười một
else	khác
elsewhere	nơi khác
email	e-mail
embarrass	lúng túng
embarrassed	xấu hổ
embarrassing	lúng túng
embarrassment	sự lúng túng
emerge	hiện ra
emergency	trường hợp khẩn cấp
emotion	cảm xúc
emotional	đa cảm
emotionally	tình cảm
emphasis	nhấn mạnh
emphasize	nhấn mạnh
empire	đế chế
employ	thuê
employee	Nhân viên
employer	chủ nhân
employment	việc làm
empty	trống
enable	cho phép
encounter	gặp gỡ
encourage	khuyến khích
encouragement	sự khuyến khích
end	kết thúc
ending	kết thúc
enemy	kẻ thù
energy	năng lượng
engage	thuê
engaged	bận
engine	động cơ
engineer	kỹ sư
engineering	kỹ thuật
enjoy	thưởng thức
enjoyable	thú vị
enjoyment	sự hưởng thụ
enormous	to lớn
enough	đủ
enquiry	cuộc điều tra
ensure	đảm bảo
enter	đi vào
entertain	giải trí
entertainer	nghệ sĩ
entertaining	giải trí
entertainment	sự giải trí
enthusiasm	hăng hái
enthusiastic	nhiệt tâm
enthusiastically	nhiệt tình
entire	toàn thể
entirely	hoàn toàn
entitle	phụ đề
entrance	cổng vào
entry	lối vào
envelope	phong bì
environment	môi trường
environmental	môi trường
equal	công bằng
equally	bằng nhau
equipment	Trang thiết bị
equivalent	tương đương
error	lỗi
escape	bỏ trốn
especially	đặc biệt
essay	tiểu luận
essential	Cần thiết
essentially	bản chất
establish	thành lập
estate	bất động sản
estimate	ước tính
euro	euro
even	cũng
evening	tối
event	biến cố
eventually	cuối cùng
ever	không bao giờ
every	mỗi
everybody	mọi người
everyone	tất cả mọi người
everything	mọi điều
everywhere	mọi nơi
evidence	chứng cớ
evil	tà ác
exact	chính xác
exactly	chính xác
exaggerate	phóng đại
exaggerated	phóng đại
exam	thi
examination	kiểm tra
examine	xem xét
example	thí dụ
excellent	Xuất sắc
except	ngoại trừ
exception	ngoại lệ
exchange	trao đổi, giao dịch
excite	kích thích
excited	bị kích thích
excitement	sự phấn khích
exciting	thú vị
exclude	loại trừ
excluding	loại trừ
excuse	tha
executive	điều hành
exercise	tập thể dục
exhibit	triển lãm
exhibition	triển lãm
exist	hiện hữu
existence	sự tồn tại
exit	lối thoát hiểm
expand	mở rộng
expect	chờ đợi
expectation	sự mong đợi
expected	kỳ vọng
expense	chi phí
expensive	đắt
experience	kinh nghiệm
experienced	có kinh nghiệm
experiment	thí nghiệm
expert	chuyên gia
explain	giải thích
explanation	giải trình
explode	phát nổ
explore	khám phá
explosion	sự nổ
export	xuất khẩu
expose	lộ ra
express	bày tỏ
expression	biểu hiện
extend	mở rộng
extension	sự mở rộng
extensive	sâu rộng
extent	mức độ
extra	thêm
extraordinary	phi thường
extreme	cực
extremely	vô cùng
eye	mắt
face	đối mặt
facility	cơ sở
fact	thực tế
factor	hệ số
factory	nhà máy
fail	Thất bại
failure	thất bại
faint	mờ nhạt
faintly	yếu ớt
fair	hội chợ
fairly	công bằng
faith	đức tin
faithful	Trung thành
faithfully	trung thành
fall	ngã
FALSE	sai
fame	danh tiếng
familiar	quen
family	gia đình
famous	nổi danh
fan	quạt
fancy	ưa thích
far	xa
farm	nông trại
farmer	nông phu
farming	nông nghiệp
farther	xa hơn
farthest	xa nhất
fashion	thời trang
fashionable	hợp thời trang
fast	Nhanh
fasten	đóng lại
fat	mập
father	cha
faucet	vòi nước
fault	lỗi
favour	ủng hộ
favourite	yêu thích
fear	nỗi sợ
feather	lông
feature	đặc tính
February	Tháng hai
federal	liên bang
fee	học phí
feed	nuôi
feel	cảm thấy
feeling	cảm giác
fellow	đồng nghiệp
female	giống cái
fence	hàng rào
festival	lễ hội
fetch	tìm nạp
fever	sốt
few	vài
field	cánh đồng
fifteen	mười lăm
fifteenth	mười lăm
fifth	thứ năm
fiftieth	năm mươi lăm
fifty	năm mươi
fight	chiến đấu
fighting	trận đánh
figure	nhân vật
file	tập tin
fill	lấp đầy
film	phim ảnh
final	sau cùng
finally	cuối cùng
finance	tài chính
financial	tài chính
find	tìm thấy
fine	khỏe
finely	tinh xảo
finger	ngón tay
finish	hoàn thành
finished	đã kết thúc
fire	ngọn lửa
firm	chắc chắn
firmly	chắc chắn
first	Đầu tiên
fish	cá
fishing	đánh bắt cá
fit	Phù hợp
five	số năm
fix	sửa chữa
fixed	đã sửa
flag	cờ
flame	ngọn lửa
flash	đèn flash
flat	bằng phẳng
flavour	hương vị
flesh	xác thịt
flight	chuyến bay
float	phao
flood	lũ lụt
flooded	ngập
flooding	lũ lụt
floor	sàn nhà
flour	bột mì
flow	lưu lượng
flower	hoa
flu	cúm
fly	bay
flying	đang bay
focus	tiêu điểm
fold	gập lại
folding	gấp lại
follow	theo
following	tiếp theo
food	món ăn
foot	chân
football	bóng đá
for	cho
force	lực lượng
forecast	dự báo
foreign	ngoại quốc
forest	rừng
forever	mãi mãi
forget	quên
forgive	tha lỗi
fork	cái nĩa
form	hình thức
formal	chính thức
formally	chính thức
former	trước đây
formerly	trước kia
formula	công thức
fortieth	fortieth
fortune	vận may
forty	bốn mươi
forward	phía trước
found	tìm
foundation	nền tảng
four	bốn
fourteen	mười bốn
fourteenth	thứ mười bốn
fourth	thứ tư
frame	khung
free	miễn phí
freedom	sự tự do
freely	tự do
freeze	Đông cứng
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi
freshly	tươi
Friday	Thứ sáu
fridge	tủ lạnh
friend	người bạn
friendly	thân thiện
friendship	hữu nghị
frighten	hoảng sợ
frightened	sợ hãi
frightening	khủng khiếp
from	từ
front	trước mặt
frozen	đông lạnh
fruit	trái cây
fry	chiên
fuel	nhiên liệu
full	đầy
fully	đầy đủ
fun	vui vẻ
function	chức năng
fund	quỹ
fundamental	cơ bản
funeral	tang lễ
funny	buồn cười
fur	lông thú
furniture	đồ nội thất
further	thêm nữa
future	Tương lai
gain	thu được
gallon	gallon
gamble	đánh bạc
gambling	bài bạc
game	trò chơi
gap	lỗ hổng
garage	nhà để xe
garbage	rác rưởi
garden	vườn
gas	khí ga
gasoline	xăng
gate	cánh cổng
gather	tụ họp
gear	Hộp số
general	chung
generally	nói chung là
generate	tạo ra
generation	thế hệ
generous	hào phóng
generously	hào phóng
gentle	dịu dàng
gentleman	quý ông
gently	dịu dàng
genuine	chính hãng
genuinely	chân thật
geography	môn Địa lý
get	được
giant	khổng lồ
gift	quà tặng
girl	con gái
girlfriend	bạn gái
give	đưa cho
glad	vui vẻ
glass	ly
global	toàn cầu
glove	găng tay
glue	keo dán
go	đi
goal	mục tiêu
god	Thượng Đế
gold	vàng
good	tốt
goodbye	Tạm biệt
goods	Các mặt hàng
govern	quản lý
government	chính quyền
governor	thống đốc
grab	vồ lấy
grade	cấp
gradual	dần dần
gradually	dần dần
grain	ngũ cốc
gram	gram
grammar	ngữ pháp
grand	lớn
grandchild	cháu nội
granddaughter	cháu gái
grandfather	ông nội
grandmother	bà ngoại
grandparent	ông bà
grandson	cháu trai
grant	ban cho
grass	cỏ
grateful	tri ân
grave	phần mộ
gravely	nghiêm khắc
great	tuyệt quá
greatly	rất nhiều
green	màu xanh lá
grey	màu xám
grocery	tạp hóa
ground	đất
group	nhóm
grow	lớn lên
growth	sự phát triển
guarantee	Bảo hành
guard	bảo vệ
guess	phỏng đoán
guest	khách
guide	hướng dẫn
guilty	tội lỗi
gun	súng
guy	chàng
habit	thói quen
hair	tóc
hairdresser	thợ làm tóc
half	một nửa
hall	đại sảnh
hammer	cây búa
hand	tay
handle	xử lý
hang	treo
happen	xảy ra
happily	hạnh phúc
happiness	hạnh phúc
happy	vui mừng
hard	cứng
hardly	khó khăn
harm	làm hại
harmful	có hại
harmless	vô hại
hat	mũ
hate	ghét bỏ
hatred	sự thù ghét
have	có
he	anh ấy
head	cái đầu
headache	đau đầu
heal	chữa lành
health	Sức khỏe
healthy	khỏe mạnh
hear	Nghe
hearing	thính giác
heart	tim
heat	nhiệt
heating	sưởi ấm
heaven	thiên đàng
heavily	nặng nề
heavy	nặng
heel	gót chân
height	Chiều cao
hell	Địa ngục
hello	xin chào
help	Cứu giúp
helpful	Hữu ích
hence	vì thế
her	cô ấy
here	đây
hero	anh hùng
hers	của cô ấy
herself	bản thân cô ấy
hesitate	do dự
hi	Chào
hide	ẩn giấu
high	cao
highlight	Điểm nổi bật
highly	cao
highway	Xa lộ
hill	đồi núi
him	anh ta
himself	bản thân anh ấy
hip	hông
hire	Thuê
his	của anh ấy
historical	lịch sử
history	lịch sử
hit	đánh
hobby	sở thích
hold	giữ
hole	lỗ
holiday	ngày lễ
hollow	rỗng
holy	thánh thiện
home	nhà
homework	bài tập về nhà
honest	thật thà
honestly	thành thật
honour	tôn vinh
hook	cái móc
hope	mong
horizontal	ngang
horn	sừng
horror	kinh dị
horse	con ngựa
hospital	bệnh viện
host	chủ nhà
hot	nóng bức
hotel	khách sạn
hour	giờ
house	nhà ở
household	hộ gia đình
housing	nhà ở
how	làm sao
however	Tuy nhiên
huge	khổng lồ
human	Nhân loại
humorous	khôi hài
humour	hài hước
hundred	hàng trăm
hundredth	hàng trăm
hungry	đói bụng
hunt	săn bắn
hunting	săn bắn
hurry	vội
hurt	đau
husband	người chồng
I	tôi
ice	Nước đá
idea	ý kiến
ideal	lý tưởng
identify	nhận định
identity	danh tính
if	nếu
ignore	bỏ qua
ill	bệnh
illegal	bất hợp pháp
illegally	bất hợp pháp
illness	bệnh
illustrate	Minh họa
image	hình ảnh
